case_id,input,issue_category,system,meter_type,meter_model,error_code,support_level,missing_information,resolution
28065,"Title: La Quenta - Update tariff
Tags: CI; Laquenta; Software; STS",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
27464,"Title: New Giza - Invoice Issue
Tags: CI; New giza; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
27565,"Title: Travco - Error while mending card on software
Tags: CI; Software; Travco; Visa",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
28493,"Title: Sun Capital - Electrical and Water Meters Communication Troubleshooting
Tags: Hardware; PI; SEM; Suncapital; W",Hardware|Communication,Electric,Water|Electric,Unknown,Unknown,Unknown,meter model; error code; support level,Not available from verified source data.
28540,"Title: Sun Capital - Electrical And Water Meters Communication troubleshooting
Tags: CI; Hardware; SEM; Suncapital; W",Hardware|Communication,Electric,Water|Electric,Unknown,Unknown,Unknown,meter model; error code; support level,Not available from verified source data.
26522,"Title: Selena Bay- Error in Charging
Tags: CI; Selena bay; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,meter type; meter model; error code; support level,Not available from verified source data.
28500,"Title: Utilities - Point 90 - Issuing CT Ratio Cards
Tags: CI; Software; Utilities; Visa",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
28332,"Title: Chinese Mall- Error 0170 in MT514
System Info: Error 0170
Tags: Chinese Mall; CI; Hardware; PEM",Hardware,Unknown,Unknown,MT514,0170,Unknown,software/system; meter type; support level,Not available from verified source data.
26554,"Title: New Giza - Changing Meter Name from Database
Tags: CI; New giza; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
28343,"Title: BDC- Follow up on problem with delivering meters
Tags: BDC; Hardware; PEM; PI",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
27004,"Title: Somabay - Readings Issue
Tags: CI; Smart; Software; Somabay",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
26470,"Title: Tiba View- Issue Tariff Card for ultrasonic meters
Tags: Hardware; PI; PWM; Tiba",Hardware,Unknown,Ultrasonic,Unknown,Unknown,Unknown,software/system; meter model; error code; support level,Not available from verified source data.
26512,"Title: Qena - Utility Water Meter Maintenance Visit
Tags: Hardware; HCWW; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,software/system; meter model; error code; support level,Not available from verified source data.
26724,"Title: UEDC - Meter Pages shows null value
Tags: CI; Hardware; PEM; UEDC
History: check firmware pages from turning off the meter and then starting it again the first page shows the firmware number.",Hardware|Firmware,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,check firmware pages from turning off the meter and then starting it again the first page shows the firmware number.
26530,"Title: Elkhamayel - Check Meter Consumption
Tags: aqua; CI; ElKhamayl; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,meter type; meter model; error code; support level,Not available from verified source data.
29480,"Title: MEDC- Inquiry about diff in meters' number in maintenance
Tags: Hardware; MEDC; PEM; PI",Software|Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
26821,"Title: Fanadir: Downloading Latest Card Soket
Tags: CI; Fanadir; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,meter type; meter model; error code; support level,Not available from verified source data.
27120,"Title: Badr: Utility Water Meter maintainenance visit
Tags: Hardware; NUCA; PI; PWM; Utility; W",Hardware,Unknown,Water,Unknown,Unknown,Unknown,software/system; meter model; error code; support level,Not available from verified source data.
26520,"Title: Elkhamayel- Fawry Intergration
Tags: CI; ElKhamayl; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,meter type; meter model; error code; support level,Not available from verified source data.
27654,"Title: Travco: Issue with mend charge
Tags: CI; Travco; Visa",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,issue category; software/system; meter type; meter model; error code; support level,Not available from verified source data.
29008,"Title: Ona electric - 4 ct ratio cards
Tags: CI; Hardware; Ona; PEM",Hardware,Electric,Electric,Unknown,Unknown,Unknown,meter model; error code; support level,Not available from verified source data.
27472,"Title: Elkhamayel- System Down
Tags: aqua; CI; ElKhamayl; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,meter type; meter model; error code; support level,Not available from verified source data.
27868,"Title: ElAbd - IC-0004 with open account card
System Info: IC-0004
Tags: CI; ElAbd; Hardware; PWM",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
27683,"Title: New Giza - Inquiry about the solar meter
Tags: CI; Inquiry; Newgiza",Software,Unknown,Unknown,Unknown,Unknown,Unknown,software/system; meter type; meter model; error code; support level,Not available from verified source data.
