case_id,input,issue_category,system,meter_type,meter_model,error_code,support_level,missing_information,resolution,resolution_source
29606,"Title: Veranda- Issue Control Card from JCkit
Tags: aqua; CI; Software; Veranda",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29605,"Title: Bohoo - Inquiry about valve status
Tags: Bohoo; CI; Hardware; PWM",Software|Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29604,"Title: South Delta- Delete Charge
System Info: Missing Feature
Tags: CI; SDDC; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29603,"Title: Sun Capital - User permission to add settlements
System Info: System Bug
Tags: PI; Software; Suncapital; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29602,"Title: GFS - Meterverse deployment
Tags: CI; GFS; Meterverse; Software",Software,MeterVerse,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29601,"Title: Veranda- Water meter negative consumption
Tags: Hardware; PI; PWM; Veranda",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29600,"Title: Epower - Solar Readings Issue
Tags: Epower; Smart; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29599,"Title: 10th of Ramadan - Utility Electrical Meters Maintenance
Tags: Hardware; PEM; PI; Utility",Hardware,Electric,Electric,Unknown,Unknown,Unknown,Exact meter model | Exact error code or error message,Not available from verified source data.,none
29598,"Title: Alexandria - Utility Water Meter Maintenance
Tags: Hardware; PI; PWM; Utility",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29597,"Title: Sadat - Utility Water Meter Maintenance
Tags: Hardware; PI; PWM; Utility",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29596,"Title: Somabay - Pending jobs
System Info: Too Many Failed Jobs
Tags: CI; Smart; Software; Somabay",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29595,"Title: Ona electric - Err 76 on 3 phase meter
System Info: Err 67
Tags: CI; Hardware; Ona; PEM",Hardware,Electric,Electric,Unknown,76|67,Unknown,Exact meter model,Not available from verified source data.,none
29594,"Title: Badr Eldeen - Troubleshooting STS Water Meters Problems
Tags: Badr Eldeen; Hardware; PI; STS",Hardware,Unknown,Water,Unknown,Unknown,Unknown,System or software involved | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29593,"Title: Chinese Village- Check windows security
Tags: Chinese Mall; CI; Software; vending",Software,Vending,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29590,"Title: Cornado- Settlement Inquiry
Tags: aqua; CI; Cornado; Software",Software,Aqua,Unknown,Unknown,Unknown,Unknown,Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29589,"Title: Courtyard - Error 1091 in MT514
System Info: Error 1091
Tags: Courtyard; Hardware; PEM; PI",Hardware,Unknown,Unknown,MT514,1091,Unknown,System or software involved | Meter type: Electric or Water,Not available from verified source data.,none
29588,"Title: Haram - Testing Reset and Out of Factory Cards
Tags: Hardware; PEM; PI; Utility",Hardware,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
29587,"Title: Remco- No response issue in MPMS
Tags: CI; MPMS; REMCO; Software",Software,Unknown,Unknown,Unknown,Unknown,Unknown,System or software involved | Meter type: Electric or Water | Exact meter model | Exact error code or error message,Not available from verified source data.,none
