Account,District,POS,Case Type,Date,Meter Number / Customer Number,Meter Type,Case Details,Action Taken,Error Code,Case Category,Case Severity,Status,Action Owner,Comment,source_year,Categories,FM team member
SCDC,South,Helwan,Maintenance,2020-01-09,20314888,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20411538,ME514-V4,Broken meter base (plastic base),the meter base was broken which can not be installed,Abuse,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20379684,ME514-V4,Totally burned meter ,it was burned out of abuse and will not be fixed,Abuse,Hardware - Scrap,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20279291,ME514-V4,the meter was not responding to reset cards,it was reset by MPMS and SONDA and was solved,103,Meter Issue,Minor,Done,Service Management,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20303906,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20079494,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20304410,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20117892,ME514-V4,The relay pins A0 & B0 was cut ,it will not be fixed ,Abuse,Hardware - Scrap,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20316959,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20279840,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20279085,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20411183,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,South,Helwan,Maintenance,2020-01-09,20397703,ME514-V4,Card inlet house not working,Technician fixed the card inlet house and tested it working,500,Hardware,Minor,Done,Factory,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303220904,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302207814,ME514-V4,The meter gives error 400 (wrong charge sequence),Charging sequence was retrieved from the meter and they are 37 and reported to the software team,400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Dokki,Maintenance,2020-01-12,301248181,ME514-V4,there are 10 K EGP negative charge on the meter as fake demand,the meter was reset and change meter was made on system,Fake Demand charge,Meter Issue,Critical,Done,Service Management,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303228531,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303263876,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303238819,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303250295,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302278476,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,303221479,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302251426,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302237145,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302274744,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302260083,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
SCDC,Dokki,Faisal,Maintenance,2020-01-12,302236742,ME514-V4,The meter gives error 400 (wrong charge sequence),"The Charging times was reported to the software team and they solved the case, Mend card was made and case solved.",400,Charging Issue,Major,Done,Software,-,2020,,
